model,model_family,feature,beta_per_sd,hazard_ratio_per_sd,hr_ci_low,hr_ci_high,p_value,regularized_fallback
Clinical,baseline,age,0.7005785679588818,2.0149181373718204,1.725499438073286,2.3528811489172403,8.351712434693228e-19,False
Clinical,baseline,grade,0.6973357377775551,2.0083946829671544,1.702256543862549,2.3695894823338914,1.4055365055747335e-16,False
Clinical,baseline,purity_low,0.09010972210788472,1.0942943454006024,0.9837904497218688,1.217210549984783,0.09710102431861303,False
Clinical,baseline,kps_low,0.19101205957625916,1.2104740497973914,1.0715643428674522,1.3673909877515797,0.002130797299078651,False
Clinical + molecular,baseline,age,0.6132820652682803,1.8464817381273821,1.569111109883939,2.17288297033988,1.5292014700252072e-13,False
Clinical + molecular,baseline,grade,0.39913726338164857,1.4905382008801833,1.2161641560015868,1.8268127023143697,0.00012034672645535021,False
Clinical + molecular,baseline,purity_low,0.07190818692429042,1.0745566811806881,0.9611315268200822,1.2013673767317825,0.20643772062196242,False
Clinical + molecular,baseline,kps_low,0.17453489491127452,1.1906922907619382,1.05357058173363,1.3456603248612302,0.0051750313556339685,False
Clinical + molecular,baseline,idh_mutant,-0.4212997518561898,0.656193376743654,0.5316382134519554,0.8099300177961188,8.750324072269791e-05,False
Clinical + molecular,baseline,mgmt_methylated,-0.06988087340960267,0.9325048994187516,0.8263096387209156,1.0523481110374293,0.25728784411546113,False
Clinical + molecular,baseline,egfr_amp,-0.01666957084388018,0.9834685976503785,0.8725913297338235,1.1084346699381502,0.7847507843683125,False
Clinical + molecular + Phase1 SRIS,phase1_sris,age,0.6277590670096924,1.8734076907289379,1.5896688964493904,2.207790806954413,6.799208537638045e-14,False
Clinical + molecular + Phase1 SRIS,phase1_sris,grade,0.45165605178582563,1.5709115434272956,1.2871821729010746,1.917182454221875,8.833831301592266e-06,False
Clinical + molecular + Phase1 SRIS,phase1_sris,purity_low,0.08319164846127787,1.0867500625691042,0.9748385491253684,1.2115090232670591,0.13351898197157952,False
Clinical + molecular + Phase1 SRIS,phase1_sris,kps_low,0.1461160394219039,1.1573304762186971,1.0261604515914402,1.3052674453662108,0.017278529398023917,False
Clinical + molecular + Phase1 SRIS,phase1_sris,idh_mutant,-0.3671022353956944,0.6927388189967159,0.5647599913527219,0.8497186038188216,0.0004272697165283597,False
Clinical + molecular + Phase1 SRIS,phase1_sris,mgmt_methylated,-0.06838416313056889,0.9339016340797829,0.8277587077474866,1.0536551944107735,0.26660762583582087,False
Clinical + molecular + Phase1 SRIS,phase1_sris,egfr_amp,0.02280934488677395,1.023071467145626,0.9062761863567673,1.1549186027883407,0.7122807053904745,False
Clinical + molecular + Phase1 SRIS,phase1_sris,SRIS_phase1,0.19310584912795203,1.2130111828999537,1.0849309783754308,1.3562117398874576,0.0006945482597053225,False
Clinical + molecular + Phase1 edges,phase1_edges,age,0.6263273903873234,1.8707274957779814,1.5869432985051641,2.205259234376085,8.542277151892195e-14,False
Clinical + molecular + Phase1 edges,phase1_edges,grade,0.45939607424222534,1.5831176107313165,1.2939637952952148,1.9368867803877268,8.030567636431024e-06,False
Clinical + molecular + Phase1 edges,phase1_edges,purity_low,0.07743124795896382,1.0805079427783837,0.9661739989563107,1.2083718001812713,0.1748037452437805,False
Clinical + molecular + Phase1 edges,phase1_edges,kps_low,0.14181550725279912,1.152364026119007,1.0222030169093148,1.2990989331143954,0.020391127658668642,False
Clinical + molecular + Phase1 edges,phase1_edges,idh_mutant,-0.3783626786816755,0.6849820272319773,0.5579540064934585,0.8409302060210768,0.0002998808633238326,False
Clinical + molecular + Phase1 edges,phase1_edges,mgmt_methylated,-0.07509504582428306,0.927655312374521,0.819835575767569,1.0496548381313993,0.23356502479356622,False
Clinical + molecular + Phase1 edges,phase1_edges,egfr_amp,0.0062089958532530335,1.0062283116244937,0.8851588796267231,1.143857264971069,0.9243725616688004,False
Clinical + molecular + Phase1 edges,phase1_edges,P1_E_D_to_R,0.048768158830399845,1.0499768946482377,0.933075159558077,1.1815248407398387,0.41807013725261,False
Clinical + molecular + Phase1 edges,phase1_edges,P1_E_D_to_C,0.06929285496114265,1.0717500305075713,0.9473232474156855,1.2125197296978747,0.27110988524943436,False
Clinical + molecular + Phase1 edges,phase1_edges,P1_E_R_to_C,0.14138979677988733,1.1518735570907894,1.0131652383274137,1.3095718658047926,0.03079179984450276,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,age,0.6263273903873239,1.8707274957779823,1.5869432985051648,2.2052592343760864,8.542277151891854e-14,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,grade,0.45939607424222495,1.5831176107313158,1.2939637952952143,1.936886780387726,8.030567636431204e-06,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,purity_low,0.07743124795896386,1.0805079427783837,0.9661739989563108,1.2083718001812713,0.17480374524378006,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,kps_low,0.14181550725279915,1.152364026119007,1.0222030169093148,1.2990989331143954,0.020391127658668552,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,idh_mutant,-0.37836267868167556,0.6849820272319772,0.5579540064934584,0.8409302060210768,0.0002998808633238326,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,mgmt_methylated,-0.07509504582428313,0.9276553123745209,0.8198355757675689,1.0496548381313993,0.2335650247935659,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,egfr_amp,0.006208995853253043,1.0062283116244937,0.8851588796267231,1.143857264971069,0.9243725616688003,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,SRIS_phase1,0.07571873503779415,1.0786591424639942,,,,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,P1_E_D_to_R,0.013854285441251541,1.0139507007945385,,,,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,P1_E_D_to_C,0.039375725322587846,1.0401612251516863,,,,False
Clinical + molecular + Phase1 SRIS+edges,phase1_all,P1_E_R_to_C,0.1011352749509297,1.10642630340436,,,,False
No-grade baseline,leakage_control,age,0.6428958362867357,1.9019807369525943,1.620628826438667,2.2321772047509856,3.5093275420859965e-15,False
No-grade baseline,leakage_control,purity_low,0.059747764022285155,1.0615687469416357,0.9484729931552315,1.1881500186255658,0.29855544683103896,False
No-grade baseline,leakage_control,kps_low,0.2127199864464889,1.2370382152759927,1.0995139041424258,1.3917637060231212,0.0004036391990298929,False
No-grade baseline,leakage_control,idh_mutant,-0.6716786211735349,0.5108503334682607,0.428661691126258,0.6087972604199139,6.13644782558326e-14,False
No-grade baseline,leakage_control,mgmt_methylated,-0.05856323827651384,0.9431185973191811,0.8350149859110312,1.0652176351528029,0.3457700482544269,False
No-grade baseline,leakage_control,egfr_amp,-0.0012320374289612865,0.9987687212175596,0.8863061781887416,1.12550152873935,0.9838728678548271,False
No-grade + Phase1 edges,leakage_control,age,0.6570734733361666,1.9291383902908161,1.6415648921650485,2.267089742633008,1.4869512859386212e-15,False
