feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
bio_dist_to__IDHmut-non-codel,1.0,0.7694350784395126,0.9443804395057519,40,128.67115009619556,1.1466074692557612e-28,0.31155242154042506,0.0196078431372549,0.027777777777777776,1.0,0.6200527532672018,0.6028290656764461,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
p_sheaf__IDHwt,0.975,0.3419068520565891,0.3419068520565891,40,97.47012122352112,6.833325383657937e-22,0.2360051361344337,0.0196078431372549,0.027777777777777776,0.7575134064679744,0.7,0.5026417082501038,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
p_sheaf__IDHmut-codel,1.0,0.491332505073587,0.491332505073587,40,67.66748920114696,2.0239110328092425e-15,0.16384379951851566,0.0196078431372549,0.027777777777777776,0.5258948035403291,0.7,0.3579006301871684,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
p_sheaf__IDHmut-non-codel,1.0,0.1974946410752369,0.1974946410752369,40,60.98704083316352,5.712580713137101e-14,0.14766837974131602,0.0196078431372549,0.027777777777777776,0.4739760294951054,0.7,0.3225670200730579,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
transport_margin,0.95,0.08201147977060433,0.1686297190807617,40,61.22711064343753,5.066427733437003e-14,0.14824966257490926,0.0196078431372549,0.027777777777777776,0.4758417920230266,0.6200527532672018,0.27250869975029457,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R__IDHwt,1.0,0.9351530181159564,0.9351530181159564,40,60.41820523266938,7.591951595644964e-14,0.14629105383212926,0.0196078431372549,0.027777777777777776,0.4695551814645339,0.5127068335345041,0.23405681275122284,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R__IDHmut-codel,1.0,-0.18484425525606868,0.45144563477737015,40,41.68792177111095,8.863041980839768e-10,0.10093927789615242,0.0196078431372549,0.027777777777777776,0.32398810253848465,0.5127068335345041,0.16149672209548763,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R__IDHmut-non-codel,0.475,0.02875777353871689,0.047962140627111294,40,62.984269300805636,2.1044552636149824e-14,0.15250428402132116,0.0196078431372549,0.027777777777777776,0.4894979896714851,0.5127068335345041,0.11589886198852202,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R,1.0,-0.1048925321121558,0.32081459733030376,40,29.321236714893985,4.295110546455212e-07,0.07099573054453749,0.0196078431372549,0.027777777777777776,0.22787731898699282,0.5127068335345041,0.11358886257848229,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
energy_margin,0.95,0.39088161748182965,0.39088161748182965,40,33.027610540993464,6.732021523093863e-08,0.07997000130991154,0.0196078431372549,0.027777777777777776,0.25668232946003644,0.43788443415640715,0.10381129963154873,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
