task,protocol,method,n,accuracy,balanced_accuracy,macro_f1,confusion_matrix,auroc_ovr_weighted,auroc_ovr_macro,auroc,auprc
idh_codel_subtype,full_geometry,baseline_logistic_features,414,0.9806763285024155,0.9644705744705745,0.9635042068830573,"[[51, 4, 0], [3, 97, 0], [1, 0, 258]]",0.9984579555522642,0.9969907429062372,,
idh_codel_subtype,full_geometry,counterfactual_min_energy_sheaf,414,0.7560386473429952,0.7411079911079911,0.7129364062076995,"[[43, 4, 8], [4, 65, 31], [31, 23, 205]]",0.7678160711794029,0.8294183530032316,,
idh_codel_subtype,full_geometry,hybrid_logistic_features_plus_sheaf_energies,414,0.9782608695652174,0.9631835731835731,0.9612642659614798,"[[51, 4, 0], [3, 97, 0], [1, 1, 257]]",0.9955919080222685,0.9919164978715456,,
idh_codel_subtype,strict_no_idh_no_clusters,baseline_logistic_features,414,0.9082125603864735,0.9047162747162747,0.8889747727250347,"[[50, 4, 1], [5, 89, 6], [3, 19, 237]]",0.9825617504640569,0.9821291389661395,,
idh_codel_subtype,strict_no_idh_no_clusters,counterfactual_min_energy_sheaf,414,0.7125603864734299,0.7254428454428455,0.6828487967728473,"[[45, 7, 3], [10, 64, 26], [20, 53, 186]]",0.808710949754722,0.8386266710760445,,
idh_codel_subtype,strict_no_idh_no_clusters,hybrid_logistic_features_plus_sheaf_energies,414,0.8913043478260869,0.8711547911547911,0.860853127256087,"[[47, 5, 3], [7, 84, 9], [4, 17, 238]]",0.9721752326580293,0.9706597722699799,,
grade_label,strict_no_grade_no_clusters,baseline_logistic_features,420,0.7238095238095238,0.6481137909709339,0.6309290539045139,"[[57, 18, 2], [39, 32, 27], [3, 27, 215]]",0.83796200858338,0.8152991128531754,,
grade_label,strict_no_grade_no_clusters,counterfactual_min_energy_sheaf,420,0.5071428571428571,0.45139146567717997,0.44328905280652026,"[[29, 29, 19], [31, 37, 30], [35, 63, 147]]",0.7086440130621904,0.6851581878213896,,
grade_label,strict_no_grade_no_clusters,hybrid_logistic_features_plus_sheaf_energies,420,0.719047619047619,0.6388991960420533,0.6285662277463286,"[[50, 27, 0], [39, 39, 20], [4, 28, 213]]",0.874090306575159,0.8487302523816657,,
grade4_status,strict_no_grade_no_clusters,baseline_logistic_features,420,0.8666666666666667,0.8587755102040816,0.8616470588235294,"[[142, 33], [23, 222]]",,,0.9011778425655976,0.8882576756708471
grade4_status,strict_no_grade_no_clusters,counterfactual_min_energy_sheaf,420,0.669047619047619,0.6681632653061225,0.6644808303495997,"[[116, 59], [80, 165]]",,,0.7246880466472303,0.7542103326024845
grade4_status,strict_no_grade_no_clusters,hybrid_logistic_features_plus_sheaf_energies,420,0.8714285714285714,0.8718367346938776,0.8687499999999999,"[[153, 22], [32, 213]]",,,0.932268221574344,0.936043564636915
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,baseline_logistic_features,414,0.9057971014492754,0.9082028782028783,0.8882343052478582,"[[51, 3, 1], [5, 89, 6], [4, 20, 235]]",0.9820635999801053,0.9815409642522631,,
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,counterfactual_min_energy_sheaf,414,0.6183574879227053,0.6118205218205218,0.5677318753594399,"[[39, 11, 5], [16, 47, 37], [35, 54, 170]]",0.7613024716719514,0.7785151857397951,,
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,hybrid_logistic_features_plus_sheaf_energies,414,0.8888888888888888,0.876006786006786,0.8628706199460917,"[[47, 5, 3], [5, 87, 8], [5, 20, 234]]",0.9734611999134454,0.9708010994735871,,
grade_label,strict_no_idh_no_grade_no_clusters,baseline_logistic_features,420,0.6571428571428571,0.6081632653061225,0.5911074079684896,"[[55, 20, 2], [38, 34, 26], [5, 53, 187]]",0.8219590569146913,0.796406619112919,,
grade_label,strict_no_idh_no_grade_no_clusters,counterfactual_min_energy_sheaf,420,0.5380952380952381,0.49004329004329,0.47740068835959243,"[[34, 26, 17], [34, 40, 24], [35, 58, 152]]",0.7178396742903018,0.6981076736252296,,
grade_label,strict_no_idh_no_grade_no_clusters,hybrid_logistic_features_plus_sheaf_energies,420,0.7357142857142858,0.6565862708719852,0.6477460942573844,"[[50, 27, 0], [39, 43, 16], [1, 28, 216]]",0.8838339761814219,0.8560203132313666,,
