feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
SRIS,0.85,-0.15062199277899568,0.1525286927494797,40,27.178476935256413,1.253916797509527e-06,0.06580745020643199,0.0196078431372549,0.027777777777777776,0.2112243258487825,0.43788443415640715,0.07643423252860528,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R,1.0,-0.1048925321121558,0.32081459733030376,40,29.321236714893985,4.295110546455212e-07,0.07099573054453749,0.0196078431372549,0.027777777777777776,0.22787731898699282,0.5127068335345041,0.11358886257848229,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_C,0.675,0.03195130770649045,0.044764350400598694,40,4.957341206969431,0.08385462757677525,0.012003247474502255,0.1568627450980392,0.17777777777777776,0.03852721611070768,0.47166025318617116,0.010085324860460768,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_R_to_C,0.525,0.032520950049406055,0.032520950049406055,40,12.369530516713212,0.0020605852010232026,0.02995043708647267,0.0196078431372549,0.027777777777777776,0.09613289775886556,0.4694872629879387,0.023036722724411957,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
frac_D_to_R,0.95,-0.08857554150230765,0.1595924362798187,40,11.289949418073093,0.0035352378095592947,0.027336439268942112,0.0196078431372549,0.027777777777777776,0.08774266344578904,0.5127068335345041,0.0415498124845567,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
frac_D_to_C,0.475,0.006402080193412795,0.03361136369495042,40,6.1549892800558155,0.0460745454907204,0.014903121743476551,0.0392156862745098,0.05128205128205128,0.04783503742256363,0.47166025318617116,0.010167311385200719,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
frac_R_to_C,0.075,0.007238107221641238,0.0077725151881488114,40,2.355185174902317,0.30801937644514604,0.005702627542136361,0.27450980392156865,0.3010752688172043,0.01830391018609504,0.4694872629879387,0.00045046324612180866,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
energy_margin,0.95,0.39088161748182965,0.39088161748182965,40,33.027610540993464,6.732021523093863e-08,0.07997000130991154,0.0196078431372549,0.027777777777777776,0.25668232946003644,0.43788443415640715,0.10381129963154873,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_total__IDHmut-codel,0.025,0.0009315850629229017,0.0009315850629229017,40,36.81703184713774,1.0122391127564636e-08,0.08914535556207685,0.0196078431372549,0.027777777777777776,0.2861327641791733,0.43788443415640715,0.0030453180026161182,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R__IDHmut-codel,1.0,-0.18484425525606868,0.45144563477737015,40,41.68792177111095,8.863041980839768e-10,0.10093927789615242,0.0196078431372549,0.027777777777777776,0.32398810253848465,0.5127068335345041,0.16149672209548763,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_C__IDHmut-codel,0.0,0.0,0.0,40,18.976267327309642,7.57453377249212e-05,0.04594737851648824,0.0196078431372549,0.027777777777777776,0.14747880401413088,0.47166025318617116,0.0,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
