task,protocol,method,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,baseline_accuracy,method_accuracy,baseline_balanced_accuracy,method_balanced_accuracy
grade4_status,strict_no_grade_no_clusters,counterfactual_min_energy_sheaf,-0.1976190476190477,-0.19061224489795914,-0.19716622847392973,0.8666666666666667,0.669047619047619,0.8587755102040816,0.6681632653061225
grade4_status,strict_no_grade_no_clusters,hybrid_logistic_features_plus_sheaf_energies,0.004761904761904745,0.013061224489795964,0.007102941176470479,0.8666666666666667,0.8714285714285714,0.8587755102040816,0.8718367346938776
grade_label,strict_no_grade_no_clusters,counterfactual_min_energy_sheaf,-0.21666666666666667,-0.19672232529375394,-0.18764000109799367,0.7238095238095238,0.5071428571428571,0.6481137909709339,0.45139146567717997
grade_label,strict_no_grade_no_clusters,hybrid_logistic_features_plus_sheaf_energies,-0.004761904761904745,-0.00921459492888066,-0.0023628261581852827,0.7238095238095238,0.719047619047619,0.6481137909709339,0.6388991960420533
grade_label,strict_no_idh_no_grade_no_clusters,counterfactual_min_energy_sheaf,-0.11904761904761907,-0.11811997526283252,-0.11370671960889717,0.6571428571428571,0.5380952380952381,0.6081632653061225,0.49004329004329
grade_label,strict_no_idh_no_grade_no_clusters,hybrid_logistic_features_plus_sheaf_energies,0.07857142857142863,0.048423005565862653,0.05663868628889479,0.6571428571428571,0.7357142857142858,0.6081632653061225,0.6565862708719852
idh_codel_subtype,full_geometry,counterfactual_min_energy_sheaf,-0.2246376811594203,-0.2233625833625834,-0.2505678006753578,0.9806763285024155,0.7560386473429952,0.9644705744705745,0.7411079911079911
idh_codel_subtype,full_geometry,hybrid_logistic_features_plus_sheaf_energies,-0.0024154589371980784,-0.0012870012870014325,-0.0022399409215774213,0.9806763285024155,0.9782608695652174,0.9644705744705745,0.9631835731835731
idh_codel_subtype,strict_no_idh_no_clusters,counterfactual_min_energy_sheaf,-0.19565217391304357,-0.17927342927342915,-0.2061259759521874,0.9082125603864735,0.7125603864734299,0.9047162747162747,0.7254428454428455
idh_codel_subtype,strict_no_idh_no_clusters,hybrid_logistic_features_plus_sheaf_energies,-0.01690821256038655,-0.033561483561483585,-0.028121645468947687,0.9082125603864735,0.8913043478260869,0.9047162747162747,0.8711547911547911
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,counterfactual_min_energy_sheaf,-0.2874396135265701,-0.29638235638235644,-0.32050242988841826,0.9057971014492754,0.6183574879227053,0.9082028782028783,0.6118205218205218
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,hybrid_logistic_features_plus_sheaf_energies,-0.01690821256038655,-0.03219609219609221,-0.02536368530176647,0.9057971014492754,0.8888888888888888,0.9082028782028783,0.876006786006786
