task,protocol,metric,delta_baseline_plus_phase6_candidates_vs_baseline,delta_column,delta_baseline_plus_phase6_SDI_vs_baseline,delta_phase6_SDI_only_vs_baseline
grade_label,strict_no_idh_no_grade_no_clusters,macro_f1,0.031062133871122666,delta_baseline_plus_phase6_candidates_vs_baseline,,
grade_label,strict_no_idh_no_grade_no_clusters,balanced_accuracy,0.026035868893011682,delta_baseline_plus_phase6_candidates_vs_baseline,,
grade_label,strict_no_idh_no_grade_no_clusters,accuracy,0.023809523809523836,delta_baseline_plus_phase6_candidates_vs_baseline,,
grade4_status,strict_no_grade_no_clusters,balanced_accuracy,0.0077551020408164195,delta_baseline_plus_phase6_candidates_vs_baseline,,
grade4_status,strict_no_grade_no_clusters,macro_f1,0.007388587651514955,delta_baseline_plus_phase6_candidates_vs_baseline,,
grade_label,strict_no_idh_no_grade_no_clusters,weighted_auroc,,delta_baseline_plus_phase6_SDI_vs_baseline,0.0010215308838709136,
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,accuracy,,delta_baseline_plus_phase6_SDI_vs_baseline,0.0,
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,balanced_accuracy,,delta_baseline_plus_phase6_SDI_vs_baseline,0.0,
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,macro_f1,,delta_baseline_plus_phase6_SDI_vs_baseline,0.0,
grade4_status,strict_no_grade_no_clusters,auprc,,delta_baseline_plus_phase6_SDI_vs_baseline,-0.0003880718754634138,
grade_label,strict_no_idh_no_grade_no_clusters,weighted_auroc,,delta_phase6_SDI_only_vs_baseline,,-0.10912591975565722
grade4_status,strict_no_grade_no_clusters,auprc,,delta_phase6_SDI_only_vs_baseline,,-0.12302559110604838
grade4_status,strict_no_grade_no_clusters,auroc,,delta_phase6_SDI_only_vs_baseline,,-0.1356501457725947
grade_label,strict_no_idh_no_grade_no_clusters,accuracy,,delta_phase6_SDI_only_vs_baseline,,-0.16666666666666663
grade4_status,strict_no_grade_no_clusters,accuracy,,delta_phase6_SDI_only_vs_baseline,,-0.17142857142857137
