feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
bio_dist_to__IDHmut-non-codel,1.0,0.9702110812767162,1.024245720289477,40,128.67115009619556,1.1466074692557612e-28,0.31155242154042506,0.0196078431372549,0.02564102564102564,1.0,0.616469218891591,0.6006623158430887,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
p_sheaf__IDHwt,1.0,0.43302204923597215,0.43302204923597215,40,97.47012122352112,6.833325383657937e-22,0.2360051361344337,0.0196078431372549,0.02564102564102564,0.7575134064679744,0.7,0.5166629900525158,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
p_sheaf__IDHmut-codel,1.0,0.43411322934880675,0.43411322934880675,40,67.66748920114696,2.0239110328092425e-15,0.16384379951851566,0.0196078431372549,0.02564102564102564,0.5258948035403291,0.7,0.3586872249787885,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
p_sheaf__IDHmut-non-codel,1.0,0.16548911843251912,0.16548911843251912,40,60.98704083316352,5.712580713137101e-14,0.14766837974131602,0.0196078431372549,0.02564102564102564,0.4739760294951054,0.7,0.32327595857871294,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R__IDHwt,1.0,0.8671223163143603,0.8671223163143603,40,60.41820523266938,7.591951595644964e-14,0.14629105383212926,0.0196078431372549,0.02564102564102564,0.4695551814645339,0.511860011958369,0.2341837894969979,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R__IDHmut-codel,0.975,-0.2648535488986009,0.43974131009482187,40,41.68792177111095,8.863041980839768e-10,0.10093927789615242,0.0196078431372549,0.02564102564102564,0.32398810253848465,0.511860011958369,0.15754472633773217,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
transport_margin,0.7,0.06387221300748094,0.07063646589286594,40,38.8706363059639,3.625338575070083e-09,0.0941177634526971,0.0196078431372549,0.02564102564102564,0.3020928644603232,0.616469218891591,0.127019059696487,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R,1.0,-0.10197828664366329,0.4012449633949687,40,29.321236714893985,4.295110546455212e-07,0.07099573054453749,0.0196078431372549,0.02564102564102564,0.22787731898699282,0.511860011958369,0.11365048498526878,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
bio_dist_to__IDHwt,0.325,0.02691424261710603,0.032990001275218304,40,71.77944461926018,2.589951574091405e-16,0.1738001080369496,0.0196078431372549,0.02564102564102564,0.5578518927171888,0.616469218891591,0.108901198177511,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
energy_margin,0.975,0.41723645302890083,0.41723645302890083,40,33.027610540993464,6.732021523093863e-08,0.07997000130991154,0.0196078431372549,0.02564102564102564,0.25668232946003644,0.4181141002175706,0.1019563761627365,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
