edge_id,source,source_type,target,target_type,edge_type,direction,glioma_relevance,frequency_notes,evidence_citation,pmid,notes
E001,IDH1,gene,IDH_2HG_metabolism,pathway,mutation_to_pathway,activates_aberrantly,both (defining LGG),~70-80% of LGG; R132H is dominant variant,Yan 2009 NEJM; TCGA glioma 2015 NEJM,19228619; 26061751,"IDH1 R132H produces D-2-hydroxyglutarate, inhibits alpha-KG-dependent demethylases"
E002,IDH2,gene,IDH_2HG_metabolism,pathway,mutation_to_pathway,activates_aberrantly,LGG (rare in GBM),~3-5% of LGG; R172 variants,Yan 2009 NEJM,19228619,Same downstream effect as IDH1 mutation via D-2HG
E003,IDH_2HG_metabolism,pathway,G_CIMP_hypermethylation,pathway,pathway_to_pathway,activates,both (IDHmut),Causes CpG island methylator phenotype,Noushmehr 2010 Cancer Cell,20399149,D-2HG blocks TET enzymes and Jumonji demethylases
E004,G_CIMP_hypermethylation,pathway,Transcriptome_subtype,phenotype,pathway_to_phenotype,influences,both,IDHmut tumors are G-CIMP positive; predominantly Proneural,Ceccarelli 2016 Cell,26771574,Methylation reprograms transcriptional landscape
E005,G_CIMP_hypermethylation,pathway,IDH_specific_DNA_methylation_cluster,phenotype,pathway_to_phenotype,defines,both (IDHmut),G-CIMP-high is the canonical IDHmut methylation profile,Noushmehr 2010 Cancer Cell; Ceccarelli 2016 Cell,20399149; 26771574,Maps to TCGA LGm clusters
E006,G_CIMP_hypermethylation,pathway,Pan_Glioma_DNA_methylation_cluster,phenotype,pathway_to_phenotype,defines,both (IDHmut),Methylation cluster assignment driven by G-CIMP,Ceccarelli 2016 Cell,26771574,Maps to TCGA LGm clusters
E007,MGMT_promoter,gene,MGMT_mRNA,gene,methylation_to_rna,silences,both (predictive),~30-50% of GBM are methylated,Hegi 2005 NEJM,15758010,Promoter CpG island methylation silences MGMT transcription
E008,MGMT_mRNA,gene,DNA_damage_repair,pathway,tf_to_target,activates,both,MGMT removes O6-methylguanine adducts,Hegi 2005 NEJM,15758010,Loss of MGMT compromises repair of TMZ-induced lesions
E009,DNA_damage_repair,pathway,Overall_survival,phenotype,pathway_to_phenotype,protects_when_compromised,both,Methylated MGMT predicts better TMZ response,Stupp 2009 Lancet Oncol; Hegi 2005 NEJM,19269895; 15758010,Treatment-response biomarker
E010,CDKN2A_promoter,gene,CDKN2A_mRNA,gene,methylation_to_rna,silences,both,Alternative inactivation when not deleted,Esteller 2001 NEJM,11556297,
E011,RASSF1A_promoter,gene,RASSF1A_mRNA,gene,methylation_to_rna,silences,both,Frequently methylated tumor suppressor,Hesson 2007 Mol Cancer,17640392,
E012,TIMP3_promoter,gene,TIMP3_mRNA,gene,methylation_to_rna,silences,both,Stromal regulator silenced in glioma,Bachman 1999 Cancer Res,10074518,
