cluster_label_in_TCGA,defining_biology,underlying_pathway_nodes_from_pathway_graph,canonical_subtype_correspondence,evidence_citation,pmid,notes
IDHmut-codel,IDH1/2 mutation + 1p/19q codeletion + CIC/FUBP1 mutations + TERT promoter mutation,IDH_2HG_metabolism; G_CIMP_hypermethylation; 1p_loss; 19q_loss; CIC; FUBP1; TERT_promoter,Oligodendroglioma WHO grade 2/3,Brat 2015 NEJM; WHO 2021,26061751; 34185076,Best prognosis adult diffuse glioma
IDHmut-non-codel,IDH1/2 mutation + ATRX loss + TP53 mutation (typical),IDH_2HG_metabolism; G_CIMP_hypermethylation; ATRX; TP53; ALT_telomere_maintenance,Astrocytoma WHO grade 2/3/4 (CDKN2A/B HD upgrades to grade 4),Brat 2015 NEJM; Shirahata 2018 Acta Neuropathol; WHO 2021,26061751; 30143891; 34185076,Intermediate prognosis; CDKN2A/B HD now defines high-grade
IDHwt,No IDH mutation + EGFR/PDGFRA/MET activation + Chr7+/Chr10- + TERT promoter mutation,Chr7_gain; Chr10_loss; EGFR; EGFR_amplification; EGFRvIII_variant; PDGFRA; MET; TERT_promoter; RTK_RAS_PI3K_pathway,Glioblastoma IDH-wildtype WHO grade 4 (per WHO 2021 even if histology is lower-grade),Brennan 2013 Cell; WHO 2021,24120142; 34185076,Worst prognosis; defines IDHwt GBM
LGm1,Most hypermethylated G-CIMP-high IDHmut,IDH_2HG_metabolism; G_CIMP_hypermethylation,IDHmut-codel and high-CIMP IDHmut-noncodel,Ceccarelli 2016 Cell,26771574,
LGm2,G-CIMP-high IDHmut,IDH_2HG_metabolism; G_CIMP_hypermethylation,IDHmut-codel,Ceccarelli 2016 Cell,26771574,
LGm3,G-CIMP-low IDHmut (worse prognosis),IDH_2HG_metabolism; reduced_G_CIMP,IDHmut with reduced G-CIMP (poorer subgroup),Ceccarelli 2016 Cell,26771574,Identified as poor-prognosis IDHmut subgroup
LGm4,IDHwt classical methylation,Chr7_gain; Chr10_loss; classical_methylation_program,IDHwt GBM (Classical-leaning),Ceccarelli 2016 Cell,26771574,
LGm5,IDHwt mesenchymal-leaning methylation,Mesenchymal_transcription_program; methylation_associated,IDHwt GBM (Mesenchymal-leaning),Ceccarelli 2016 Cell,26771574,
LGm6,IDHwt pediatric / atypical / PA-like,Chromatin_remodeling_pathway; H3F3A_K27M/G34 in pediatric,Pediatric or atypical IDHwt,Ceccarelli 2016 Cell,26771574,Includes pediatric-typical patterns
LGr1,IDHmut codeleted RNA profile (oligo-like),Proneural_transcription_program; OLIG2; ASCL1; CIC,IDHmut-codel oligodendroglioma,Ceccarelli 2016 Cell,26771574,
LGr2,IDHmut non-codeleted RNA profile,Proneural_transcription_program; ATRX-loss-associated_program,IDHmut-noncodel astrocytoma,Ceccarelli 2016 Cell,26771574,
LGr3,IDHwt proneural-like or atypical,Proneural_transcription_program; PDGFRA,Proneural GBM IDHwt or atypical IDHmut,Ceccarelli 2016 Cell,26771574,
LGr4,IDHwt mesenchymal/classical-like,Mesenchymal_transcription_program; RTK_RAS_PI3K_pathway,IDHwt GBM Mesenchymal/Classical,Ceccarelli 2016 Cell,26771574,
PN (Proneural),Proneural transcriptome (Verhaak 2010),Proneural_transcription_program; OLIG2; ASCL1; PDGFRA; (IDHmut-enriched in 2010 cohort),IDHmut + Proneural IDHwt GBM,Verhaak 2010 Cancer Cell,20129251,Note: 2010 PN class predates IDHmut/IDHwt split; mostly IDHmut
NE (Neural),Neural transcriptome (Verhaak 2010),neural_lineage_genes; debated as normal-brain-contamination artifact,not well replicated in later cohorts,Verhaak 2010 Cancer Cell; Wang 2017 Cancer Cell,20129251; 28697342,Wang 2017 reclassified and dropped NE class
CL (Classical),Classical transcriptome (Verhaak 2010),Chr7_gain; Chr10_loss; EGFR_amplification; EGFRvIII_variant; RTK_RAS_PI3K_pathway,IDHwt GBM Classical,Verhaak 2010 Cancer Cell,20129251,Most stereotyped IDHwt GBM subtype
ME (Mesenchymal),Mesenchymal transcriptome (Verhaak 2010),Mesenchymal_transcription_program; NF1; STAT3; CEBPB; NFKB; ESTIMATE_immune_score; ESTIMATE_stromal_score,IDHwt GBM Mesenchymal,Verhaak 2010 Cancer Cell; Carro 2010 Nature; Wang 2017 Cancer Cell,20129251; 20032975; 28697342,Highest immune/stromal infiltration; potential immunotherapy target
RPPA_cluster_R1,Variable - protein activity cluster 1,EGFR_signaling_activity; PI3K_AKT_mTOR_pathway,IDHwt GBM with active RTK signaling,Brennan 2013 Cell,24120142,RPPA clusters indicate protein-level signaling state
RPPA_cluster_R2,Variable - protein activity cluster 2,p53_pathway_active; Apoptosis_pathway,Subset with active stress response,Brennan 2013 Cell,24120142,
RPPA_cluster_R3,Variable - protein activity cluster 3,Mesenchymal_transcription_program,Mesenchymal-leaning,Brennan 2013 Cell,24120142,
RPPA_cluster_R4,Variable - protein activity cluster 4,Stemness_pathway; OLIG2,Proneural / stem-cell-like,Brennan 2013 Cell,24120142,
TERT_expression_status_Expressed,TERT transcript above expression threshold,TERT_promoter; TERT_mRNA; Telomere_maintenance_pathway,IDHwt GBM and IDHmut-codel (TERT promoter mutation drives expression),Killela 2013 PNAS,23530239,
TERT_expression_status_Not_expressed,TERT transcript below threshold,ALT_telomere_maintenance (alternative mechanism); ATRX,IDHmut-noncodel (uses ALT instead),Heaphy 2011 Science,21719641,
ESTIMATE_immune_score_high,High immune infiltrate in bulk tumor,Mesenchymal_transcription_program; NF1; STAT3,Mesenchymal IDHwt GBM,Wang 2017 Cancer Cell,28697342,Candidate for immunotherapy decision support
ESTIMATE_stromal_score_high,High stromal infiltrate,Mesenchymal_transcription_program; Angiogenesis_pathway,Mesenchymal IDHwt GBM with vascular stroma,Wang 2017 Cancer Cell,28697342,
Chr7gain_Chr10loss_combined,Co-occurring CIN signature,Chr7_gain; Chr10_loss; EGFR_mRNA; PTEN_mRNA,IDHwt GBM (defining feature in WHO 2021),Brennan 2013 Cell; WHO 2021,24120142; 34185076,Now sufficient for IDHwt GBM molecular diagnosis per WHO 2021
